Time,Contract,Funding Interval,Funding Rate,Spot Closing Price,Futures Closing Price
2024-05-10 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0054%,60799.5,
2024-05-10 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0048%,60921.9,
2024-05-10 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0081%,63076.9,
2024-05-09 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0012%,63076.6,
2024-05-09 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0047%,62153.9,
2024-05-09 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0154%,61256.4,
2024-05-08 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0037%,61187.2,
2024-05-08 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0095%,62280.9,
2024-05-08 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0074%,62209.9,
2024-05-07 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0008%,62314.5,
2024-05-07 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0043%,63741.2,
2024-05-07 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0063%,63671.4,
2024-05-06 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0027%,63165.3,
2024-05-06 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0011%,63636.3,
2024-05-06 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0053%,64540.4,
2024-05-05 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0050%,64014.5,
2024-05-05 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0024%,64427.5,
2024-05-05 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0034%,63734.4,
2024-05-04 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0038%,63890.6,
2024-05-04 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0074%,63608.6,
2024-05-04 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0131%,62957.3,
2024-05-03 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0186%,62878.1,
2024-05-03 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0152%,61679.3,
2024-05-03 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0179%,59181.7,
2024-05-02 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0127%,59057.0,
2024-05-02 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0012%,59264.8,
2024-05-02 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0077%,57673.9,
2024-05-01 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0229%,58346.5,
2024-05-01 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0135%,56882.6,
2024-05-01 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0322%,57492.6,
2024-04-30 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0126%,60670.4,
2024-04-30 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0052%,60792.9,
2024-04-30 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0075%,63147.4,
2024-04-29 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0120%,63859.8,
2024-04-29 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0038%,63035.6,
2024-04-29 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0128%,62393.0,
2024-04-28 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0102%,63122.9,
2024-04-28 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0128%,63536.8,
2024-04-28 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0%,63913.4,
2024-04-27 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0235%,63452.6,
2024-04-27 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0026%,62951.0,
2024-04-27 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0019%,62969.6,
2024-04-26 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0086%,63768.2,
2024-04-26 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0152%,63500.0,
2024-04-26 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0124%,64275.6,
2024-04-25 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0003%,64501.2,
2024-04-25 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0062%,64132.7,
2024-04-25 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0175%,64011.6,
2024-04-24 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0109%,64290.6,
2024-04-24 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0174%,64619.6,
2024-04-24 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0071%,66626.7,
2024-04-23 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0203%,66415.6,
