coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
ETH,117.2386,2024-11-22 08:00:00,2024-11-29 08:00:00,3314.15,3613.95,3316.37,3615.21,0.00029201,2384.243572689359,1116.1663396648,1380.6262890245125,0.0035509334838089847,168.0,positive,Short Futures / Long Spot
ETH,112.28555,2024-11-25 08:00:00,2024-11-29 08:00:00,3518.41,3613.95,3521.26,3615.21,0.00023935,1135.6294378806545,1114.8818785234,199.28158385726942,0.000504017020043999,96.0,positive,Short Futures / Long Spot
ETH,116.97482,2024-11-26 00:00:00,2024-11-30 00:00:00,3394.8,3703.07,3396.98,3705.64,0.0002448,1167.288037990479,1140.98549545984,-19.31763726934014,-4.861481433503428e-05,96.0,positive,Short Futures / Long Spot
ETH,113.79727,2024-11-23 08:00:00,2024-11-30 08:00:00,3460.33,3674.0,3463.13,3676.6,0.00032558,2694.4966720750567,1122.2618489038,1594.9942771712845,0.004047235643305404,168.0,positive,Short Futures / Long Spot
ETH,116.03547,2024-11-23 16:00:00,2024-11-30 16:00:00,3393.91,3703.6,3396.33,3705.73,0.00037006,3062.6127499832864,1131.62478176988,1964.6382545133988,0.004985192686164163,168.0,positive,Short Futures / Long Spot
ETH,117.18617,2024-11-24 16:00:00,2024-12-01 16:00:00,3361.2,3707.61,3362.98,3711.24,0.00027264,2256.365822461519,1135.6971104486402,903.8742975129462,0.0022935456681873138,168.0,positive,Short Futures / Long Spot
ETH,115.71433,2024-11-25 16:00:00,2024-12-02 16:00:00,3414.49,3643.42,3416.92,3646.26,0.00031797,2640.142677756589,1127.75047160804,1464.9493308485655,0.0037051060898119193,168.0,positive,Short Futures / Long Spot
ETH,109.29213,2024-11-30 08:00:00,2024-12-04 08:00:00,3674.0,3821.0,3676.6,3824.39,0.0002474,1192.9334439850704,1137.4591544805598,-30.8664931954836,-7.681605831473239e-05,96.0,positive,Short Futures / Long Spot
ETH,111.27116,2024-12-02 16:00:00,2024-12-10 08:00:00,3643.42,3567.75,3646.26,3568.08,0.00028383,2648.600044458712,1128.43465999264,1799.4559960660965,0.004435177262016482,184.0,positive,Short Futures / Long Spot
ETH,112.09258,2024-12-03 00:00:00,2024-12-10 08:00:00,3616.85,3567.75,3619.54,3568.08,0.00026464,2362.1551232570114,1130.8083302231198,1495.885281833906,0.0036869567522945265,176.0,positive,Short Futures / Long Spot
ETH,113.51356,2024-12-03 08:00:00,2024-12-10 08:00:00,3571.79,3567.75,3574.23,3568.08,0.00034689,2955.5704444986745,1134.91356747664,2060.1704886220487,0.005077768788997944,168.0,positive,Short Futures / Long Spot
ETH,101.23009,2024-12-07 08:00:00,2024-12-11 08:00:00,4004.71,3787.34,4007.66,3786.75,0.00024299,1182.9602182451918,1117.4607420938,423.85399475139,0.0010447581982503465,96.0,positive,Short Futures / Long Spot
ETH,104.27107,2024-12-05 08:00:00,2024-12-12 08:00:00,3888.0,3957.67,3890.78,3956.9,0.00049482,4215.67424577085,1140.8839978264,3444.952546444469,0.008491467251193895,168.0,positive,Short Futures / Long Spot
ETH,101.57835,2024-12-08 08:00:00,2024-12-12 08:00:00,3990.79,3957.67,3993.92,3956.9,0.00023941,1165.5315881704455,1132.304025285,429.38312788545454,0.0010583869097027707,96.0,positive,Short Futures / Long Spot
ETH,107.11977,2024-12-05 16:00:00,2024-12-13 00:00:00,3785.2,3885.64,3787.31,3884.58,0.00031177,2782.6429866515964,1143.83175972528,1978.3808978263248,0.004876513422825193,176.0,positive,Short Futures / Long Spot
ETH,101.51836,2024-12-06 08:00:00,2024-12-13 08:00:00,3993.02,3886.21,3996.28,3884.71,0.0002554,2175.9088092080706,1126.22519431488,1532.911008493213,0.003778474018837574,168.0,positive,Short Futures / Long Spot
ETH,101.37959,2024-12-06 16:00:00,2024-12-14 00:00:00,3998.87,3920.76,4001.75,3920.31,0.0002635,2351.818403515653,1128.75913850492,1560.6532997107715,0.0038468561879178823,176.0,positive,Short Futures / Long Spot
ETH,101.70134,2024-12-07 00:00:00,2024-12-14 00:00:00,3985.87,3920.76,3989.09,3920.31,0.0003059,2606.1492392171367,1129.69726430392,1849.6958927132698,0.004559317350824505,168.0,positive,Short Futures / Long Spot
